文件名,顺序,Eye study,语言,省份,省份,省份4分 1=high；2=Upper-middle；3=lower-middle; 4= low,省份3分 1=high；2=middle；3=low,省份3分 1=high；2=middle；3=low(修改四川安徽）,随访,随访次,0：不可用；1：可用；2潜力，需整体近视率补充数据；3潜力，需补充整体城乡数据,不可用理由,我们使用为1,年份,时间分组1:1995-2003；2:2004-2007；3:2008-2011；4:2012-2015；5:2016-2019；6:2020-2023,验光方式1非散瞳；2散瞳；3试片,城市/农村 0=农村，1=城市，2=农村及城市，3=不清楚划分,高度近视人数,男性人数,男性近视人数,男性近视率,男性城市人数,男性城市近视人数,男性农村人数,男性农村近视人数,男性高度近视,男性城市高度近视人数,男性农村高度近视人数,女性人数,女性近视人数,女性近视率,女性城市人数,女性城市近视人数,女性农村人数,女性农村近视人数,女性高度近视,女性城市高度近视人数,女性农村高度近视人数,学前人数,学前近视人数,学前总近视率,学前城市人数,学前城市近视人数,学前城市患病率,学前农村人数,学前农村近视人数,学前农村近视率,学前高度近视人数,学前城市高度近视人数,学前农村高度近视人数,1-3年级城市人数,1-3年级城市近视人数,1-3年级城市患病率,1-3年级农村人数,1-3年级农村近视人数,1-3年级农村患病率,4-6年级城市人数,4-6年级城市近视人数,4-6年级城市患病率,4-6年级农村人数,4-6年级农村近视人数,4-6年级农村患病率,7-9年级城市人数,7-9年级城市近视人数,7-9年级城市近视率,7-9年级农村人数,7-9年级农村近视人数,7-9年级农村近视率,10-12年级城市人数,10-12年级城市近视人数,10-12年级城市近视率,10-12年级农村人数,10-12年级农村近视人数,10-12年级农村近视率,同年同省小学生人口数,同年同省初中人口数,同年同省小学初中人口总数,离群,备注
Jiaxing Wang 2020,017,,0 ,12 ,天津,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2018 ,5 ,1 ,1 ,469 ,7406 ,5802 ,78.34%,7406 ,5802 ,0 ,0 ,,,,7115 ,5924 ,83.26%,7115 ,5924 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,2510 ,1733 ,69.04%,0 ,0 ,,4766 ,3843 ,80.63%,0 ,0 ,,6894 ,6074 ,88.11%,0 ,0 ,,\,\,,\,\,,673188,280205,953393,,
Jiaxing Wang 2021,018,,0 ,37 ,山东,1 ,1 ,1 ,2 ,1 ,1 ,,1 ,2015 ,4 ,1 ,1 ,263 ,8369 ,5208 ,62.23%,8369 ,5208 ,0 ,0 ,,,,7901 ,2447 ,30.97%,7901 ,2447 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,5706 ,880 ,15.42%,0 ,0 ,,10564 ,6775 ,64.13%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,6746258,3108127,9854385,,
Jiaxing Wang 2021,019,,0 ,37 ,山东,1 ,1 ,1 ,2 ,2 ,1 ,,1 ,2016 ,5 ,1 ,1 ,404 ,19138 ,13798 ,72.10%,19138 ,13798 ,0 ,0 ,,,,17905 ,13065 ,72.97%,17905 ,13065 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,16040 ,2088 ,13.02%,0 ,0 ,,21003 ,13918 ,66.27%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,6913144,3159129,10072273,,
Jiaxing Wang 2021,020,,0 ,37 ,山东,1 ,1 ,1 ,2 ,3 ,0 ,随访重复,,2017 ,5 ,1 ,1 ,587 ,23359 ,12818 ,54.87%,23359 ,12818 ,0 ,0 ,,,,20917 ,10938 ,52.29%,20917 ,10938 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,25351 ,2600 ,10.26%,0 ,0 ,,18925 ,13432 ,70.97%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,7084730,3293601,10378331,,
Jiaxing Wang 2021,021,,0 ,37 ,山东,1 ,1 ,1 ,2 ,4 ,1 ,,1 ,2018 ,5 ,1 ,1 ,270 ,10535 ,4542 ,43.11%,10535 ,4542 ,0 ,0 ,,,,8989 ,3129 ,34.81%,8989 ,3129 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,10936 ,1332 ,12.18%,0 ,0 ,,8488 ,6339 ,74.68%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,7259706,3457221,10716927,,
Jiaxing Wang 2021,022,,0 ,37 ,山东,1 ,1 ,1 ,2 ,5 ,0 ,随访重复,,2019 ,5 ,1 ,1 ,814 ,30592 ,14977 ,48.96%,30592 ,14977 ,0 ,0 ,,,,29753 ,15680 ,52.70%,29753 ,15680 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,23561 ,5351 ,22.71%,0 ,0 ,,36786 ,25302 ,68.78%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,7385622,3609195,10994817,,
Jiaxing Wang 2021,023,,0 ,37 ,山东,1 ,1 ,1 ,2 ,6 ,1 ,,1 ,2020 ,6 ,1 ,1 ,1836 ,60138 ,30481 ,50.69%,60138 ,30481 ,0 ,0 ,,,,57594 ,32217 ,55.94%,57594 ,32217 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,48326 ,13478 ,27.89%,0 ,0 ,,69406 ,49220 ,70.92%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,7432850,3727055,11159905,,
Jin Tao Sun 2018,024,Childhood Errors of Refraction Study,0 ,37 ,山东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2015 ,4 ,2 ,1 ,280 ,2529 ,1301 ,51.44%,2529 ,1301 ,0 ,0 ,,,,2361 ,1243 ,52.65%,2361 ,1243 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,1368 ,378 ,27.63%,0 ,0 ,,3522 ,2166 ,61.50%,0 ,0 ,,\,\,,\,\,,6746258,3108127,9854385,,
Li juan Wu 2015,026,,0 ,11 ,北京,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2011 ,3 ,1 ,1 ,462 ,2150 ,1872 ,87.07%,2150 ,1872 ,0 ,0 ,203 ,203 ,0 ,2490 ,2281 ,91.61%,2490 ,2281 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,4677 ,4219 ,90.21%,0 ,0 ,,680457,302269,982726,,男女性人数与总人数对不上（4677和4640；近视眼数是3773和3742）；rural和urban，但都在北京，故算作城区
Li Juan Wu 2015-2,027,,0 ,11 ,北京,1 ,1 ,1 ,1 ,1 ,2 ,,1 ,2010 ,3 ,1 ,1 ,,2459 ,,,,,,,,,,2358 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,653255,309912,963167,,男女人数加起来不等于总人数（5052和4817）；rural和urban，但都在北京；故算作城区
Li Juan Wu 2015-2,028,,0 ,11 ,北京,1 ,1 ,1 ,1 ,2 ,0 ,随访重复,,2011 ,3 ,1 ,1 ,,2089 ,,,,,,,,,,2021 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,680457,302269,982726,,分了rural和urban，但都在北京，故算作城区
Min Chen 2018,032,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,1 ,1 ,,1 ,2001 ,1 ,1 ,1 ,193 ,1344 ,1052 ,78.27%,1344 ,1052 ,0 ,0 ,,,,1084 ,879 ,81.09%,1084 ,879 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,2418 ,1873 ,77.46%,0 ,0 ,,3462761,2028231,5490992,,
Min Chen 2018,033,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,2 ,0 ,随访重复,,2002 ,1 ,1 ,1 ,195 ,1327 ,1086 ,81.84%,1327 ,1086 ,0 ,0 ,,,,997 ,857 ,85.96%,997 ,857 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,2324 ,1892 ,81.43%,0 ,0 ,,3437490,2015585,5453075,,
Min Chen 2018,034,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,3 ,1 ,,1 ,2003 ,1 ,1 ,1 ,219 ,1400 ,1112 ,79.43%,1400 ,1112 ,0 ,0 ,,,,1062 ,942 ,88.70%,1062 ,942 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,2462 ,2001 ,81.26%,0 ,0 ,,3402942,1919386,5322328,,
Min Chen 2018,035,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,4 ,1 ,,1 ,2004 ,2 ,1 ,1 ,236 ,1407 ,1112 ,79.03%,1407 ,1112 ,0 ,0 ,,,,1247 ,1094 ,87.73%,1247 ,1094 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,2654 ,2149 ,80.96%,0 ,0 ,,3443066,1800749,5243815,,
Min Chen 2018,036,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,5 ,0 ,随访重复,,2005 ,2 ,1 ,1 ,273 ,1636 ,1279 ,78.18%,1636 ,1279 ,0 ,0 ,,,,1436 ,1231 ,85.72%,1436 ,1231 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3072 ,2445 ,79.58%,0 ,0 ,,3424042,1710877,5134919,,
Min Chen 2018,037,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,6 ,1 ,,1 ,2006 ,2 ,1 ,1 ,257 ,1520 ,1189 ,78.22%,1520 ,1189 ,0 ,0 ,,,,1454 ,1248 ,85.83%,1454 ,1248 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,2974 ,2374 ,79.81%,0 ,0 ,,3394297,1729981,5124278,,
Min Chen 2018,038,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,7 ,0 ,随访重复,,2007 ,2 ,1 ,1 ,308 ,1517 ,1195 ,78.77%,1517 ,1195 ,0 ,0 ,,,,1497 ,1332 ,88.98%,1497 ,1332 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3014 ,2461 ,81.66%,0 ,0 ,,3354576,1794725,5149301,,
Min Chen 2018,039,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,8 ,1 ,,1 ,2008 ,3 ,1 ,1 ,312 ,1574 ,1270 ,80.69%,1574 ,1270 ,0 ,0 ,,,,1481 ,1326 ,89.53%,1481 ,1326 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3055 ,2529 ,82.77%,0 ,0 ,,3322785,1849851,5172636,,
Min Chen 2018,040,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,9 ,0 ,随访重复,,2009 ,3 ,1 ,1 ,399 ,1413 ,1145 ,81.03%,1413 ,1145 ,0 ,0 ,,,,1517 ,1350 ,88.99%,1517 ,1350 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,2930 ,2430 ,82.94%,0 ,0 ,,3251416,1767195,5018611,,
Min Chen 2018,041,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,10 ,1 ,,1 ,2010 ,3 ,1 ,1 ,437 ,1475 ,1239 ,84.00%,1475 ,1239 ,0 ,0 ,,,,1801 ,1616 ,89.73%,1801 ,1616 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3276 ,2781 ,84.88%,0 ,0 ,,3333274,1671286,5004560,,
Min Chen 2018,042,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,11 ,0 ,随访重复,,2011 ,3 ,1 ,1 ,411 ,1424 ,1181 ,82.94%,1424 ,1181 ,0 ,0 ,,,,1655 ,1475 ,89.12%,1655 ,1475 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3079 ,2587 ,84.02%,0 ,0 ,,3440635,1546002,4986637,,
Min Chen 2018,043,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,12 ,1 ,,1 ,2012 ,4 ,1 ,1 ,490 ,1489 ,1224 ,82.20%,1489 ,1224 ,0 ,0 ,,,,1794 ,1616 ,90.08%,1794 ,1616 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3283 ,2766 ,84.26%,0 ,0 ,,3467269,1492985,4960254,,
Min Chen 2018,044,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,13 ,0 ,随访重复,,2013 ,4 ,1 ,1 ,457 ,1479 ,1228 ,83.03%,1479 ,1228 ,0 ,0 ,,,,1755 ,1558 ,88.77%,1755 ,1558 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3234 ,2714 ,83.91%,0 ,0 ,,3495846,1482649,4978495,,
Min Chen 2018,045,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,14 ,1 ,,1 ,2014 ,4 ,1 ,1 ,503 ,1480 ,1262 ,85.27%,1480 ,1262 ,0 ,0 ,,,,1671 ,1519 ,90.90%,1671 ,1519 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3151 ,2709 ,85.96%,0 ,0 ,,3545013,1499062,5044075,,
Min Chen 2018,046,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,15 ,0 ,随访重复,,2015 ,4 ,1 ,1 ,514 ,1368 ,1151 ,84.14%,1368 ,1151 ,0 ,0 ,,,,1564 ,1420 ,90.79%,1564 ,1420 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,2932 ,2503 ,85.37%,0 ,0 ,,3569926,1479353,5049279,,
Min Hu 2019,047,,0 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2014 ,4 ,2 ,0 ,,3375 ,,,,,,,,,,2918 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,0 ,0 ,,6293 ,696 ,11.05%,\,\,,\,\,,\,\,,\,\,,8319147,3767505,12086652,,根据参考文献13判断，人群属于rural
Mingguang He 2004,049,Refractive Error Study in Children (RESC) study,0 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2002 ,1 ,2 ,1 ,81 ,2226 ,802 ,36.03%,2226 ,802 ,0 ,0 ,38 ,,,2090 ,841 ,40.24%,2090 ,841 ,0 ,0 ,43 ,,,552 ,32 ,5.80%,552 ,32 ,5.80%,0 ,0 ,,2 ,2 ,0 ,1107 ,182 ,16.44%,0 ,0 ,,1287 ,525 ,40.79%,0 ,0 ,,1370 ,904 ,65.99%,0 ,0 ,,\,\,,\,\,,9796069,4149939,13946008,1 ,电脑验光
Mingguang He 2007,050,,0 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2005 ,2 ,2 ,2 ,11 ,1098 ,374 ,34.06%,,,,,4 ,,,1064 ,542 ,50.94%,,,,,7 ,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,1192 ,596 ,50.00%,970 ,320 ,32.99%,\,\,,\,\,,10670304,4627044,15297348,,
Qi Sheng You 2012,054,Beijing childhood Eye Study,0 ,11 ,北京,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2010 ,3 ,1 ,1 ,790 ,7026 ,4363 ,62.10%,7026 ,4363 ,0 ,0 ,285 ,285 ,0 ,7424 ,5075 ,68.36%,7424 ,5075 ,0 ,0 ,366 ,366 ,0 ,\,\,,\,\,,\,\,,\,\,\,3391 ,1218 ,35.92%,0 ,0 ,,2232 ,1330 ,59.59%,0 ,0 ,,4369 ,3409 ,78.03%,0 ,0 ,,5240 ,4579 ,87.39%,0 ,0 ,,653255,309912,963167,,详细数据在Ref: doi: 10.1111/aos.12299；分了urban和rural，但人群在北京，故算作urban
Sean K. Wang 2018,060,,0 ,44 ,广东,1 ,1 ,1 ,1 ,1 ,1 ,,1 ,2011 ,3 ,1 ,1 ,20 ,3045 ,748 ,24.56%,3045 ,748 ,0 ,0 ,6 ,6 ,0 ,2693 ,710 ,26.36%,2693 ,710 ,0 ,0 ,14 ,14 ,0 ,\,\,,\,\,,\,\,,\,\,\,5738 ,1458 ,25.41%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,8220577,4790565,13011142,,
Sean K. Wang 2018,061,,0 ,44 ,广东,1 ,1 ,1 ,1 ,2 ,1 ,,1 ,2014 ,4 ,1 ,1 ,93 ,2811 ,1608 ,57.20%,2811 ,1608 ,0 ,0 ,49 ,49 ,0 ,2471 ,1642 ,66.45%,2471 ,1642 ,0 ,0 ,44 ,44 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,5282 ,3250 ,61.53%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,8319147,3767505,12086652,,
Sean K. Wang 2018,062,,0 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2011 ,3 ,1 ,1 ,353 ,3791 ,2671 ,70.46%,3791 ,2671 ,0 ,0 ,169 ,169 ,0 ,3416 ,2636 ,77.17%,3416 ,2636 ,0 ,0 ,184 ,184 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,7186 ,5288 ,73.59%,0 ,0 ,,\,\,,\,\,,8220577,4790565,13011142,,
Shuyu Xiong 2017,072,Shanghai Children Eye Study (SCES),0 ,31 ,上海,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2013 ,4 ,2 ,1 ,78 ,1037 ,373 ,35.97%,1037 ,373 ,0 ,0 ,31 ,31 ,0 ,955 ,344 ,36.02%,955 ,344 ,0 ,0 ,47 ,47 ,0 ,\,\,,\,\,,\,\,,\,\,\,907,169 ,18.65%,0 ,0 ,,183,83 ,45.59%,0 ,0 ,,183,121 ,66.16%,0 ,0 ,,260,211 ,81.15%,0 ,0 ,,792476,436696,1229172,,G10~12计算了15～18岁（18岁70人）
Xiangui He 2015,079,shanghai baoshan children eye study,0 ,31 ,上海,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2010 ,3 ,2 ,1 ,214 ,2468 ,652 ,26.42%,2468 ,652 ,0 ,0 ,,,,2126 ,640 ,30.10%,2126 ,640 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,1881 ,286 ,15.20%,0 ,0 ,,2713 ,1258 ,46.36%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,701578,425463,1127041,,总人数是按照examined算的，文中还汇报了散瞳人数；文中提到纳入的为1-5年级人群，因此将≥12算作4-6年级组了；上海城乡结合部取样，故算作城市
Xiangui He 2021,080,Shanghai child and adolescent large‐scale eye study (SCALE),0 ,31 ,上海,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2012 ,4 ,1 ,3 ,11046 ,322953 ,96555 ,29.90%,322953 ,96555 ,0 ,0 ,5382 ,5382 ,0 ,283523 ,92794 ,32.73%,283523 ,92794 ,0 ,0 ,5664 ,5664 ,0 ,126808 ,8035 ,6.34%,126808 ,8035 ,6.34%,0 ,0 ,,359 ,359 ,0 ,220891 ,38492 ,17.43%,0 ,0 ,,172077 ,81402 ,47.31%,0 ,0 ,,86700 ,61420 ,70.84%,0 ,0 ,,\,\,,\,\,,760377,432686,1193063,,
Xian-Ming Jiang 2020,081,The Shenzhen elementary school eye study,0 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,0 ,,1 ,2019 ,5 ,1 ,1 ,,1198 ,,,,,,,,,,899 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,,\,\,,\,\,,\,\,,10334303,3890283,14224586,,
