province,year,age_group,method,population_urban,myopia_urban,myopia_rate_urban,population_rural,myopia_rural,myopia_rate_rural,method,number of junior secondary school graduates,New Student Enrollment in high school,articulation rate,GDP
Gansu,2001,1,,,,,,,,,,,,
Guangdong,2001,1,,,,,,,,,,,,
Guangxi,2001,1,,,,,,,,,,,,
Guizhou,2001,1,,,,,,,,,,,,
Hainan,2001,1,,,,,,,,,,,,
Hebei,2001,1,,,,,,,,,,,,
Heilongjiang,2001,1,,,,,,,,,,,,
Henan,2001,1,,,,,,,,,,,,
Hubei,2001,1,,,,,,,,,,,,
Hunan,2001,1,,,,,,,,,,,,
Inner Mongolia,2001,1,,,,,,,,,,,,
Jiangsu,2001,1,,,,,,,,,,,,
Jiangxi,2001,1,,,,,,,,,,,,
Jilin,2001,1,,,,,,,,,,,,
Liaoning,2001,1,,,,,,,,,,,,
Ningxia,2001,1,,,,,,,,,,,,
Qinghai,2001,1,,,,,,,,,,,,
Shaanxi,2001,1,,,,,,,,,,,,
Shandong,2001,1,,,,,,,,,,,,
Shanghai,2001,1,,,,,,,,,,,,
Shanxi,2001,1,,,,,,,,,,,,
Sichuan,2001,1,,,,,,,,,,,,
Tianjin,2001,1,,,,,,,,,,,,
Tibet,2001,1,,,,,,,,,,,,
Xinjiang,2001,1,,,,,,,,,,,,
Yunnan,2001,1,,,,,,,,,,,,
Zhejiang,2001,1,,,,,,,,,,,,
Anhui,2002,1,,,,,,,,,,,,
Beijing,2002,1,,,,,,,,,,,,
Chongqing,2002,1,,,,,,,,,,,,
Fujian,2002,1,,,,,,,,,,,,
Gansu,2002,1,,,,,,,,,,,,
Guangdong,2002,1,,,,,,,,,,,,
Guangxi,2002,1,,,,,,,,,,,,
Guizhou,2002,1,,,,,,,,,,,,
Hainan,2002,1,,,,,,,,,,,,
Hebei,2002,1,,,,,,,,,,,,
Heilongjiang,2002,1,,,,,,,,,,,,
Henan,2002,1,,,,,,,,,,,,
Hubei,2002,1,,,,,,,,,,,,
Hunan,2002,1,,,,,,,,,,,,
Inner Mongolia,2002,1,,,,,,,,,,,,
Jiangsu,2002,1,,,,,,,,,,,,
Jiangxi,2002,1,,,,,,,,,,,,
Jilin,2002,1,,,,,,,,,,,,
Liaoning,2002,1,,,,,,,,,,,,
Ningxia,2002,1,,,,,,,,,,,,
Qinghai,2002,1,,,,,,,,,,,,
Shaanxi,2002,1,,,,,,,,,,,,
Shandong,2002,1,,,,,,,,,,,,
Shanghai,2002,1,,,,,,,,,,,,
Shanxi,2002,1,,,,,,,,,,,,
Sichuan,2002,1,,,,,,,,,,,,
Tianjin,2002,1,,,,,,,,,,,,
Tibet,2002,1,,,,,,,,,,,,
Xinjiang,2002,1,,,,,,,,,,,,
Yunnan,2002,1,,,,,,,,,,,,
Zhejiang,2002,1,,,,,,,,,,,,
Anhui,2003,1,,,,,,,,,,,,
Beijing,2003,1,,,,,,,,,,,,
Chongqing,2003,1,,,,,,,,,,,,
Fujian,2003,1,,,,,,,,,,,,
Gansu,2003,1,,,,,,,,,,,,
Guangdong,2003,1,,,,,,,,,,,,
Guangxi,2003,1,,,,,,,,,,,,
Guizhou,2003,1,,,,,,,,,,,,
Hainan,2003,1,,,,,,,,,,,,
Hebei,2003,1,,,,,,,,,,,,
Heilongjiang,2003,1,,,,,,,,,,,,
Henan,2003,1,,,,,,,,,,,,
Hubei,2003,1,,,,,,,,,,,,
Hunan,2003,1,,,,,,,,,,,,
Inner Mongolia,2003,1,,,,,,,,,,,,
Jiangsu,2003,1,,,,,,,,,,,,
Jiangxi,2003,1,,,,,,,,,,,,
Jilin,2003,1,,,,,,,,,,,,
Liaoning,2003,1,,,,,,,,,,,,
Ningxia,2003,1,,,,,,,,,,,,
Qinghai,2003,1,,,,,,,,,,,,
Shaanxi,2003,1,,,,,,,,,,,,
Shandong,2003,1,,,,,,,,,,,,
Shanghai,2003,1,,,,,,,,,,,,
Shanxi,2003,1,,,,,,,,,,,,
Sichuan,2003,1,,,,,,,,,,,,
Tianjin,2003,1,,,,,,,,,,,,
Tibet,2003,1,,,,,,,,,,,,
Xinjiang,2003,1,,,,,,,,,,,,
Yunnan,2003,1,,,,,,,,,,,,
Zhejiang,2003,1,,,,,,,,,,,,
Anhui,2004,1,,,,,,,,,,,,
Beijing,2004,1,,,,,,,,,,,,
Chongqing,2004,1,,,,,,,,,,,,
Fujian,2004,1,,,,,,,,,,,,
Gansu,2004,1,,,,,,,,,,,,
Guangdong,2004,1,,,,,,,,,,,,
Guangxi,2004,1,,,,,,,,,,,,
Guizhou,2004,1,,,,,,,,,,,,
Hainan,2004,1,,,,,,,,,,,,
Hebei,2004,1,,,,,,,,,,,,
Heilongjiang,2004,1,,,,,,,,,,,,
Henan,2004,1,,,,,,,,,,,,
Hubei,2004,1,,,,,,,,,,,,
Hunan,2004,1,,,,,,,,,,,,
Inner Mongolia,2004,1,,,,,,,,,,,,
Jiangsu,2004,1,,,,,,,,,,,,
Jiangxi,2004,1,,,,,,,,,,,,
Jilin,2004,1,,,,,,,,,,,,
Liaoning,2004,1,,,,,,,,,,,,
Ningxia,2004,1,,,,,,,,,,,,
Qinghai,2004,1,,,,,,,,,,,,
Shaanxi,2004,1,,,,,,,,,,,,
Shandong,2004,1,,,,,,,,,,,,
Shanghai,2004,1,,,,,,,,,,,,
Shanxi,2004,1,,,,,,,,,,,,
Sichuan,2004,1,,,,,,,,,,,,
Tianjin,2004,1,,,,,,,,,,,,
Tibet,2004,1,,,,,,,,,,,,
Xinjiang,2004,1,,,,,,,,,,,,
Yunnan,2004,1,,,,,,,,,,,,
Zhejiang,2004,1,,,,,,,,,,,,
Anhui,2005,1,,,,,,,,,,,,
Beijing,2005,1,,,,,,,,,,,,
Chongqing,2005,1,,,,,,,,,,,,
Fujian,2005,1,,,,,,,,,,,,
Gansu,2005,1,,,,,,,,,,,,
Guangdong,2005,1,,,,,,,,,,,,
Guangxi,2005,1,,,,,,,,,,,,
Guizhou,2005,1,,,,,,,,,,,,
Hainan,2005,1,,,,,,,,,,,,
Hebei,2005,1,,,,,,,,,,,,
Heilongjiang,2005,1,,,,,,,,,,,,
Henan,2005,1,,,,,,,,,,,,
Hubei,2005,1,,,,,,,,,,,,
Hunan,2005,1,,,,,,,,,,,,
Inner Mongolia,2005,1,,,,,,,,,,,,
Jiangsu,2005,1,,,,,,,,,,,,
Jiangxi,2005,1,,,,,,,,,,,,
Jilin,2005,1,,,,,,,,,,,,
Liaoning,2005,1,,,,,,,,,,,,
Ningxia,2005,1,,,,,,,,,,,,
Qinghai,2005,1,,,,,,,,,,,,
Shaanxi,2005,1,,,,,,,,,,,,
Shandong,2005,1,,,,,,,,,,,,
Shanghai,2005,1,,,,,,,,,,,,
Shanxi,2005,1,,,,,,,,,,,,
Sichuan,2005,1,,,,,,,,,,,,
Tianjin,2005,1,,,,,,,,,,,,
Tibet,2005,1,,,,,,,,,,,,
Xinjiang,2005,1,,,,,,,,,,,,
Yunnan,2005,1,,,,,,,,,,,,
Zhejiang,2005,1,,,,,,,,,,,,
Anhui,2006,1,,,,,,,,,,,,
Beijing,2006,1,,,,,,,,,,,,
Chongqing,2006,1,,,,,,,,,,,,
Fujian,2006,1,,,,,,,,,,,,
Gansu,2006,1,,,,,,,,,,,,
Guangdong,2006,1,,,,,,,,,,,,
Guangxi,2006,1,,,,,,,,,,,,
Guizhou,2006,1,,,,,,,,,,,,
Hainan,2006,1,,,,,,,,,,,,
Hebei,2006,1,,,,,,,,,,,,
Heilongjiang,2006,1,,,,,,,,,,,,
Henan,2006,1,,,,,,,,,,,,
Hubei,2006,1,,,,,,,,,,,,
Hunan,2006,1,,,,,,,,,,,,
Inner Mongolia,2006,1,,,,,,,,,,,,
Jiangsu,2006,1,,,,,,,,,,,,
Jiangxi,2006,1,,,,,,,,,,,,
Jilin,2006,1,,,,,,,,,,,,
Liaoning,2006,1,,,,,,,,,,,,
Ningxia,2006,1,,,,,,,,,,,,
Qinghai,2006,1,,,,,,,,,,,,
Shaanxi,2006,1,,,,,,,,,,,,
Shandong,2006,1,,,,,,,,,,,,
Shanghai,2006,1,,,,,,,,,,,,
Shanxi,2006,1,,,,,,,,,,,,
Sichuan,2006,1,,,,,,,,,,,,
Tianjin,2006,1,,,,,,,,,,,,
Tibet,2006,1,,,,,,,,,,,,
Xinjiang,2006,1,,,,,,,,,,,,
Yunnan,2006,1,,,,,,,,,,,,
Zhejiang,2006,1,,,,,,,,,,,,
Anhui,2007,1,,,,,,,,,,,,
Beijing,2007,1,,,,,,,,,,,,
Chongqing,2007,1,,,,,,,,,,,,
Fujian,2007,1,,,,,,,,,,,,
Gansu,2007,1,,,,,,,,,,,,
Guangdong,2007,1,,,,,,,,,,,,
Guangxi,2007,1,,,,,,,,,,,,
Guizhou,2007,1,,,,,,,,,,,,
Hainan,2007,1,,,,,,,,,,,,
Hebei,2007,1,,,,,,,,,,,,
Heilongjiang,2007,1,,,,,,,,,,,,
Henan,2007,1,,,,,,,,,,,,
Hubei,2007,1,,,,,,,,,,,,
Hunan,2007,1,,,,,,,,,,,,
Inner Mongolia,2007,1,,,,,,,,,,,,
Jiangsu,2007,1,,,,,,,,,,,,
Jiangxi,2007,1,,,,,,,,,,,,
Jilin,2007,1,,,,,,,,,,,,
Liaoning,2007,1,,,,,,,,,,,,
Ningxia,2007,1,,,,,,,,,,,,
Qinghai,2007,1,,,,,,,,,,,,
Shaanxi,2007,1,,,,,,,,,,,,
Shandong,2007,1,,,,,,,,,,,,
Shanghai,2007,1,,,,,,,,,,,,
Shanxi,2007,1,,,,,,,,,,,,
Sichuan,2007,1,,,,,,,,,,,,
Tianjin,2007,1,,,,,,,,,,,,
Tibet,2007,1,,,,,,,,,,,,
Xinjiang,2007,1,,,,,,,,,,,,
Yunnan,2007,1,,,,,,,,,,,,
Zhejiang,2007,1,,,,,,,,,,,,
Anhui,2008,1,,,,,,,,,,,,
Beijing,2008,1,,,,,,,,,,,,
Chongqing,2008,1,,,,,,,,,,,,
Fujian,2008,1,,,,,,,,,,,,
Gansu,2008,1,,,,,,,,,,,,
Guangdong,2008,1,,,,,,,,,,,,
Guangxi,2008,1,,,,,,,,,,,,
Guizhou,2008,1,,,,,,,,,,,,
Hainan,2008,1,,,,,,,,,,,,
Hebei,2008,1,,,,,,,,,,,,
Heilongjiang,2008,1,,,,,,,,,,,,
Henan,2008,1,,,,,,,,,,,,
Hubei,2008,1,,,,,,,,,,,,
Hunan,2008,1,,,,,,,,,,,,
Inner Mongolia,2008,1,,,,,,,,,,,,
Jiangsu,2008,1,,,,,,,,,,,,
Jiangxi,2008,1,,,,,,,,,,,,
Jilin,2008,1,,,,,,,,,,,,
Liaoning,2008,1,,,,,,,,,,,,
Ningxia,2008,1,,,,,,,,,,,,
Qinghai,2008,1,,,,,,,,,,,,
Shaanxi,2008,1,,,,,,,,,,,,
Shandong,2008,1,,,,,,,,,,,,
Shanghai,2008,1,,,,,,,,,,,,
Shanxi,2008,1,,,,,,,,,,,,
Sichuan,2008,1,,,,,,,,,,,,
Tianjin,2008,1,,,,,,,,,,,,
Tibet,2008,1,,,,,,,,,,,,
Xinjiang,2008,1,,,,,,,,,,,,
Yunnan,2008,1,,,,,,,,,,,,
Zhejiang,2008,1,,,,,,,,,,,,
Anhui,2009,1,,,,,,,,,,,,
Beijing,2009,1,,,,,,,,,,,,
Chongqing,2009,1,,,,,,,,,,,,
Fujian,2009,1,,,,,,,,,,,,
Gansu,2009,1,,,,,,,,,,,,
Guangdong,2009,1,,,,,,,,,,,,
Guangxi,2009,1,,,,,,,,,,,,
Guizhou,2009,1,,,,,,,,,,,,
Hainan,2009,1,,,,,,,,,,,,
Hebei,2009,1,,,,,,,,,,,,
Heilongjiang,2009,1,,,,,,,,,,,,
Henan,2009,1,,,,,,,,,,,,
Hubei,2009,1,,,,,,,,,,,,
Hunan,2009,1,,,,,,,,,,,,
Inner Mongolia,2009,1,,,,,,,,,,,,
Jiangsu,2009,1,,,,,,,,,,,,
Jiangxi,2009,1,,,,,,,,,,,,
Jilin,2009,1,,,,,,,,,,,,
Liaoning,2009,1,,,,,,,,,,,,
Ningxia,2009,1,,,,,,,,,,,,
Qinghai,2009,1,,,,,,,,,,,,
Shaanxi,2009,1,,,,,,,,,,,,
Shandong,2009,1,,,,,,,,,,,,
Shanghai,2009,1,,,,,,,,,,,,
Shanxi,2009,1,,,,,,,,,,,,
Sichuan,2009,1,,,,,,,,,,,,
Tianjin,2009,1,,,,,,,,,,,,
Tibet,2009,1,,,,,,,,,,,,
Xinjiang,2009,1,,,,,,,,,,,,
Yunnan,2009,1,,,,,,,,,,,,
Zhejiang,2009,1,,,,,,,,,,,,
Anhui,2010,1,,,,,,,,,,,,
Beijing,2010,1,,,,,,,,,,,,
Chongqing,2010,1,,,,,,,,,,,,
Fujian,2010,1,,,,,,,,,,,,
Gansu,2010,1,,,,,,,,,,,,
Guangdong,2010,1,,,,,,,,,,,,
Guangxi,2010,1,,,,,,,,,,,,
Guizhou,2010,1,,,,,,,,,,,,
Hainan,2010,1,,,,,,,,,,,,
Hebei,2010,1,,,,,,,,,,,,
Heilongjiang,2010,1,,,,,,,,,,,,
Henan,2010,1,,,,,,,,,,,,
Hubei,2010,1,,,,,,,,,,,,
Hunan,2010,1,,,,,,,,,,,,
Inner Mongolia,2010,1,,,,,,,,,,,,
Jiangsu,2010,1,,,,,,,,,,,,
Jiangxi,2010,1,,,,,,,,,,,,
Jilin,2010,1,,,,,,,,,,,,
Liaoning,2010,1,,,,,,,,,,,,
Ningxia,2010,1,,,,,,,,,,,,
Qinghai,2010,1,,,,,,,,,,,,
Shaanxi,2010,1,,,,,,,,,,,,
Shandong,2010,1,,,,,,,,,,,,
Shanghai,2010,1,,,,,,,,,,,,
Shanxi,2010,1,,,,,,,,,,,,
Sichuan,2010,1,,,,,,,,,,,,
Tianjin,2010,1,,,,,,,,,,,,
Tibet,2010,1,,,,,,,,,,,,
Xinjiang,2010,1,,,,,,,,,,,,
Yunnan,2010,1,,,,,,,,,,,,
Zhejiang,2010,1,,,,,,,,,,,,
Anhui,2011,1,,,,,,,,,,,,
Beijing,2011,1,,,,,,,,,,,,
Chongqing,2011,1,,,,,,,,,,,,
Fujian,2011,1,,,,,,,,,,,,
Gansu,2011,1,,,,,,,,,,,,
Guangdong,2011,1,,,,,,,,,,,,
Guangxi,2011,1,,,,,,,,,,,,
Guizhou,2011,1,,,,,,,,,,,,
Hainan,2011,1,,,,,,,,,,,,
Hebei,2011,1,,,,,,,,,,,,
Heilongjiang,2011,1,,,,,,,,,,,,
Henan,2011,1,,,,,,,,,,,,
Hubei,2011,1,,,,,,,,,,,,
Hunan,2011,1,,,,,,,,,,,,
Inner Mongolia,2011,1,,,,,,,,,,,,
Jiangsu,2011,1,,,,,,,,,,,,
Jiangxi,2011,1,,,,,,,,,,,,
Jilin,2011,1,,,,,,,,,,,,
Liaoning,2011,1,,,,,,,,,,,,
Ningxia,2011,1,,,,,,,,,,,,
Qinghai,2011,1,,,,,,,,,,,,
Shaanxi,2011,1,,,,,,,,,,,,
Shandong,2011,1,,,,,,,,,,,,
Shanghai,2011,1,,,,,,,,,,,,
Shanxi,2011,1,,,,,,,,,,,,
Sichuan,2011,1,,,,,,,,,,,,
Tianjin,2011,1,,,,,,,,,,,,
Tibet,2011,1,,,,,,,,,,,,
Xinjiang,2011,1,,,,,,,,,,,,
Yunnan,2011,1,,,,,,,,,,,,
Zhejiang,2011,1,,,,,,,,,,,,
Anhui,2012,1,,,,,,,,,,,,
Beijing,2012,1,,,,,,,,,,,,
Chongqing,2012,1,,,,,,,,,,,,
Fujian,2012,1,,,,,,,,,,,,
Gansu,2012,1,,,,,,,,,,,,
Guangdong,2012,1,,,,,,,,,,,,
Guangxi,2012,1,,,,,,,,,,,,
Guizhou,2012,1,,,,,,,,,,,,
Hainan,2012,1,,,,,,,,,,,,
Hebei,2012,1,,,,,,,,,,,,
Heilongjiang,2012,1,,,,,,,,,,,,
Henan,2012,1,,,,,,,,,,,,
Hubei,2012,1,,,,,,,,,,,,
Hunan,2012,1,,,,,,,,,,,,
Inner Mongolia,2012,1,,,,,,,,,,,,
Jiangsu,2012,1,,,,,,,,,,,,
Jiangxi,2012,1,,,,,,,,,,,,
Jilin,2012,1,,,,,,,,,,,,
Liaoning,2012,1,,,,,,,,,,,,
Ningxia,2012,1,,,,,,,,,,,,
Qinghai,2012,1,,,,,,,,,,,,
Shaanxi,2012,1,,,,,,,,,,,,
Shandong,2012,1,,,,,,,,,,,,
Shanghai,2012,1,,,,,,,,,,,,
Shanxi,2012,1,,,,,,,,,,,,
Sichuan,2012,1,,,,,,,,,,,,
Tianjin,2012,1,,,,,,,,,,,,
Tibet,2012,1,,,,,,,,,,,,
Xinjiang,2012,1,,,,,,,,,,,,
Yunnan,2012,1,,,,,,,,,,,,
Zhejiang,2012,1,,,,,,,,,,,,
Anhui,2013,1,,,,,,,,,,,,
Beijing,2013,1,,,,,,,,,,,,
Chongqing,2013,1,,,,,,,,,,,,
Fujian,2013,1,,,,,,,,,,,,
Gansu,2013,1,,,,,,,,,,,,
Guangdong,2013,1,,,,,,,,,,,,
Guangxi,2013,1,,,,,,,,,,,,
Guizhou,2013,1,,,,,,,,,,,,
Hainan,2013,1,,,,,,,,,,,,
Hebei,2013,1,,,,,,,,,,,,
Heilongjiang,2013,1,,,,,,,,,,,,
Henan,2013,1,,,,,,,,,,,,
Hubei,2013,1,,,,,,,,,,,,
Hunan,2013,1,,,,,,,,,,,,
Inner Mongolia,2013,1,,,,,,,,,,,,
Jiangsu,2013,1,,,,,,,,,,,,
Jiangxi,2013,1,,,,,,,,,,,,
Jilin,2013,1,,,,,,,,,,,,
Liaoning,2013,1,,,,,,,,,,,,
Ningxia,2013,1,,,,,,,,,,,,
Qinghai,2013,1,,,,,,,,,,,,
Shaanxi,2013,1,,,,,,,,,,,,
Shandong,2013,1,,,,,,,,,,,,
Shanghai,2013,1,,,,,,,,,,,,
Shanxi,2013,1,,,,,,,,,,,,
Sichuan,2013,1,,,,,,,,,,,,
Tianjin,2013,1,,,,,,,,,,,,
Tibet,2013,1,,,,,,,,,,,,
Xinjiang,2013,1,,,,,,,,,,,,
Yunnan,2013,1,,,,,,,,,,,,
Zhejiang,2013,1,,,,,,,,,,,,
Anhui,2014,1,,,,,,,,,,,,
Beijing,2014,1,,,,,,,,,,,,
Chongqing,2014,1,,,,,,,,,,,,
Fujian,2014,1,,,,,,,,,,,,
Gansu,2014,1,,,,,,,,,,,,
Guangdong,2014,1,,,,,,,,,,,,
Guangxi,2014,1,,,,,,,,,,,,
Guizhou,2014,1,,,,,,,,,,,,
Hainan,2014,1,,,,,,,,,,,,
Hebei,2014,1,,,,,,,,,,,,
Heilongjiang,2014,1,,,,,,,,,,,,
Henan,2014,1,,,,,,,,,,,,
Hubei,2014,1,,,,,,,,,,,,
Hunan,2014,1,,,,,,,,,,,,
Inner Mongolia,2014,1,,,,,,,,,,,,
Jiangsu,2014,1,,,,,,,,,,,,
Jiangxi,2014,1,,,,,,,,,,,,
Jilin,2014,1,,,,,,,,,,,,
Liaoning,2014,1,,,,,,,,,,,,
Ningxia,2014,1,,,,,,,,,,,,
Qinghai,2014,1,,,,,,,,,,,,
Shaanxi,2014,1,,,,,,,,,,,,
Shandong,2014,1,,,,,,,,,,,,
Shanghai,2014,1,,,,,,,,,,,,
Shanxi,2014,1,,,,,,,,,,,,
Sichuan,2014,1,,,,,,,,,,,,
Tianjin,2014,1,,,,,,,,,,,,
Tibet,2014,1,,,,,,,,,,,,
Xinjiang,2014,1,,,,,,,,,,,,
Yunnan,2014,1,,,,,,,,,,,,
Zhejiang,2014,1,,,,,,,,,,,,
Anhui,2015,1,,,,,,,,,,,,
Beijing,2015,1,,,,,,,,,,,,
Chongqing,2015,1,,,,,,,,,,,,
Fujian,2015,1,,,,,,,,,,,,
Gansu,2015,1,,,,,,,,,,,,
Guangdong,2015,1,,,,,,,,,,,,
Guangxi,2015,1,,,,,,,,,,,,
Guizhou,2015,1,,,,,,,,,,,,
Hainan,2015,1,,,,,,,,,,,,
Hebei,2015,1,,,,,,,,,,,,
Heilongjiang,2015,1,,,,,,,,,,,,
Henan,2015,1,,,,,,,,,,,,
Hubei,2015,1,,,,,,,,,,,,
Hunan,2015,1,,,,,,,,,,,,
Inner Mongolia,2015,1,,,,,,,,,,,,
Jiangsu,2015,1,,,,,,,,,,,,
Jiangxi,2015,1,,,,,,,,,,,,
Jilin,2015,1,,,,,,,,,,,,
Liaoning,2015,1,,,,,,,,,,,,
Ningxia,2015,1,,,,,,,,,,,,
Qinghai,2015,1,,,,,,,,,,,,
Shaanxi,2015,1,,,,,,,,,,,,
Shandong,2015,1,,,,,,,,,,,,
Shanghai,2015,1,,,,,,,,,,,,
Shanxi,2015,1,,,,,,,,,,,,
Sichuan,2015,1,,,,,,,,,,,,
Tianjin,2015,1,,,,,,,,,,,,
Tibet,2015,1,,,,,,,,,,,,
Xinjiang,2015,1,,,,,,,,,,,,
Yunnan,2015,1,,,,,,,,,,,,
Zhejiang,2015,1,,,,,,,,,,,,
Anhui,2016,1,,,,,,,,,,,,
Beijing,2016,1,,,,,,,,,,,,
Chongqing,2016,1,,,,,,,,,,,,
Fujian,2016,1,,,,,,,,,,,,
Gansu,2016,1,,,,,,,,,,,,
Guangdong,2016,1,,,,,,,,,,,,
Guangxi,2016,1,,,,,,,,,,,,
Guizhou,2016,1,,,,,,,,,,,,
Hainan,2016,1,,,,,,,,,,,,
Hebei,2016,1,,,,,,,,,,,,
Heilongjiang,2016,1,,,,,,,,,,,,
Henan,2016,1,,,,,,,,,,,,
Hubei,2016,1,,,,,,,,,,,,
Hunan,2016,1,,,,,,,,,,,,
Inner Mongolia,2016,1,,,,,,,,,,,,
Jiangsu,2016,1,,,,,,,,,,,,
Jiangxi,2016,1,,,,,,,,,,,,
Jilin,2016,1,,,,,,,,,,,,
Liaoning,2016,1,,,,,,,,,,,,
Ningxia,2016,1,,,,,,,,,,,,
Qinghai,2016,1,,,,,,,,,,,,
Shaanxi,2016,1,,,,,,,,,,,,
Shandong,2016,1,,,,,,,,,,,,
Shanghai,2016,1,,,,,,,,,,,,
Shanxi,2016,1,,,,,,,,,,,,
Sichuan,2016,1,,,,,,,,,,,,
Tianjin,2016,1,,,,,,,,,,,,
Tibet,2016,1,,,,,,,,,,,,
Xinjiang,2016,1,,,,,,,,,,,,
Yunnan,2016,1,,,,,,,,,,,,
Zhejiang,2016,1,,,,,,,,,,,,
Anhui,2017,1,,,,,,,,,,,,
Beijing,2017,1,,,,,,,,,,,,
Chongqing,2017,1,,,,,,,,,,,,
Fujian,2017,1,,,,,,,,,,,,
Gansu,2017,1,,,,,,,,,,,,
Guangdong,2017,1,,,,,,,,,,,,
Guangxi,2017,1,,,,,,,,,,,,
Guizhou,2017,1,,,,,,,,,,,,
Hainan,2017,1,,,,,,,,,,,,
Hebei,2017,1,,,,,,,,,,,,
Heilongjiang,2017,1,,,,,,,,,,,,
Henan,2017,1,,,,,,,,,,,,
Hubei,2017,1,,,,,,,,,,,,
Hunan,2017,1,,,,,,,,,,,,
